ID,TypeID,MoveCategoryID,Name,JapaneseName,ChineseName,Description,ChineseDescription
1,2,2,Absorb,すいとる,吸收,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,吸取对方的养分。攻击造成的一半伤害会转化成自己的HP。
2,15,2,Aerial Ace,つばめがえし,回转攻,"The user confounds the target with speed, then slashes.",以迅捷的速度玩弄对方后斩切，攻击必定会命中。
3,15,2,Air Cutter,エアカッター,破空斩,The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.,用锐利的风切割对方。容易击中要害。
4,15,2,Air Slash,エアスラッシュ,空气砍,The user attacks with a blade of air that slices even the sky.,制造空气之刃切裂对方。有时会使对方退缩。
5,14,2,Ancient Power,げんしのちから,原始之力,The user attacks with a prehistoric power.,用原始的力量攻击对方。有时会提升自身所有的能力。
6,18,2,Aqua Jet,アクアジェット,喷射水柱,The user lunges at the target at a speed that makes it almost invisible.,用眼睛无法跟上的速度接近对方攻击。必定能够先制攻击。
7,18,2,Aqua Tail,アクアテール,水柱尾,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,如狂暴的海浪般挥舞尾巴，强力攻击对方。
8,6,2,Blizzard,ふぶき,暴风雪,A howling blizzard is summoned to strike opposing Pokémon.,用暴风雪攻击对方，有时会使对方冰冻。
9,8,2,Body Slam,のしかかり,泰山压顶,The user drops onto the target with its full body weight.,用自己的身体，压住对方进行攻击。有时会使对方麻痹。
10,4,2,Bone Club,ホネこんぼう,骨棒,The user clubs the target with a bone.,用手中的骨头殴打对方。有时会使对方退缩。
11,11,2,Brick Break,かわらわり,劈瓦,The user attacks with a swift chop.,用手刀进行致命一击，可以击碎光墙和减半反射。
12,18,2,Brine,しおみず,盐水,"If the target's HP is half or less, this attack will hit with double the power.",当对方的HP低于一半时，我方招式威力翻倍。
13,18,2,Bubble Beam,バブルこうせん,泡沫光线,A spray of bubbles is forcefully ejected at the target.,喷射大量的泡沫攻击对方。有时会降低对方的速度。
14,1,2,Bug Buzz,むしのさざめき,虫鸣,The user vibrates its wings to generate a damaging sound wave.,用独特方式振动翅膀，发出声音攻击对方。有时会降低对方的特防。
15,4,2,Bulldoze,じならし,整地,The user strikes everything around it by stomping down on the ground.,用力踩踏地面，攻击全场。降低对方的速度。
16,11,2,Cross Chop,クロスチョップ,十字切,The user delivers a double chop with its forearms crossed. Critical hits land more easily.,交叉绞杀对方进行攻击。容易击中要害。
17,10,2,Cross Poison,クロスポイズン,十字毒药,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.,用毒刃将对方斩裂。有时会使对方中毒，且容易击中要害。
18,3,2,Dark Pulse,あくのはどう,恶波动,The user releases a horrible aura imbued with dark thoughts.,从体内放射出充满恶意的光环。有时会使对方退缩。
19,9,2,Dazzling Gleam,マジカルシャイン,魔法照耀,The user damages opposing Pokémon by emitting a powerful flash.,发射出充满力量的光芒攻击对方。
20,4,2,Dig,あなをほる,挖地洞,"The user burrows, then attacks on the next turn.",首回合钻入地下，下一回合攻击对方。可以用于脱离洞穴。
21,9,2,Disarming Voice,チャームボイス,魅力之音,"Letting out a charming cry, the user does emotional damage to opposing Pokémon.",发出迷人的声音，给予对方精神上的伤害。必定能命中目标。
22,7,2,Discharge,ほうでん,放电,The user strikes everything around it by letting loose a flare of electricity.,用猛烈的电流进行全体攻击。有时会使对方麻痹。
23,8,2,Double Slap,おうふくビンタ,连环巴掌,"The target is slapped repeatedly, back and forth, two to five times in a row.",用反复拍打的方式攻击，连续攻击对方2～5次。
24,5,2,Dragon Claw,ドラゴンクロー,龙爪,"The user slashes the target with huge, sharp claws.",用锐利的巨爪切裂对方攻击。
25,5,2,Dragon Pulse,りゅうのはどう,龙波动,The target is attacked with a shock wave generated by the user's gaping mouth.,从口中喷射出巨大的冲击波攻击对方。
26,9,2,Draining Kiss,ドレインキッス,吸取之吻,The user steals the target's energy with a kiss. The user's HP is restored by over half of the damage taken by the target.,用一个吻窃取对方的能量，伤害的75%回复自身HP。
27,15,2,Drill Peck,ドリルくちばし,冲钻,A corkscrewing attack with a sharp beak acting as a drill.,用旋转的尖喙刺击对方。
28,4,2,Drill Run,ドリルライナー,低空钻,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.,像电钻一样旋转身体旋转身体攻击对方。容易击中要害。
29,4,2,Earthquake,じしん,地震,The user sets off an earthquake that strikes every Pokémon around it.,引发地震，攻击周围的所有对象。
30,13,2,Fire Blast,だいもんじ,大字爆,The target is attacked with an intense blast of all-consuming fire.,用爆成大字的火焰灼烧对方。有时会使对方灼伤。
31,13,2,Fire Punch,ほのおのパンチ,火焰拳,The target is punched with a fiery fist.,用附带着火焰的拳头攻击对方。有时会使对方灼伤。
32,13,2,Flame Burst,はじけるほのお,爆炸火焰,The user attacks the target with a bursting flame.,向对方发射击中后会爆裂的火焰。爆裂的火焰会飞溅到对方身旁的神奇宝贝上。
33,13,2,Flame Charge,ニトロチャージ,火焰袭击,"Cloaking itself in flame, the user attacks.",让身体缠绕火焰攻击对方。能够提升自身的速度。
34,13,2,Flame Wheel,かえんぐるま,火焰轮,The user cloaks itself in fire and charges at the target.,用火焰缠绕身体向对方进行突击。有时会使对方灼伤。
35,13,2,Flamethrower,かえんほうしゃ,喷射火焰,The target is scorched with an intense blast of fire.,用炙热火焰攻击对方。有时会使对方灼伤。
36,16,2,Flash Cannon,ラスターカノン,光泽电炮,The user gathers all its light energy and releases it at once.,收集身体的光芒聚集在一点释放出去。有时会降低对方的特防。
37,2,2,Giga Drain,ギガドレイン,超级吸收,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target..,吸取养分的攻击。伤害的一半转化成自己的HP。
38,10,2,Gunk Shot,ダストシュート,灰尘射击,The user shoots filthy garbage at the target to attack.,用超级脏的垃圾攻击对方。有时会使对方中毒。
39,8,2,Headbutt,ずつき,铁头功,The user sticks out its head and attacks by charging straight into the target.,冲向对方，用头进行攻击。有时会使对方退缩。
40,12,2,Heart Stamp,ハートスタンプ,爱心捣击,The user unleashes a vicious blow after its cute act makes the target less wary.,以可爱的样子迷惑对手，再给予对手致命一击。有时会使对方退缩。
41,13,2,Heat Wave,ねっぷう,热风,The user attacks by exhaling hot breath on the opposing Pokémon.,向对方吹出灼热的风进行攻击。有时会使对方灼伤。
42,8,2,Horn Attack,つのでつく,角撞,The target is jabbed with a sharply pointed horn to inflict damage.,用锋利的尖角攻击对方。
43,15,2,Hurricane,ぼうふう,暴风,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky.,用强烈的风席卷对方。有时会使对方混乱。
44,18,2,Hydro Pump,ハイドロポンプ,水炮,The target is blasted by a huge volume of water launched under great pressure.,向对方喷射高压水柱进行攻击。
45,8,2,Hyper Beam,はかいこうせん,破坏死光,The target is attacked with a powerful beam.,放出强光攻击对方。下一回合无法行动。
46,8,2,Hyper Fang,ひっさつまえば,必杀门牙,The user bites hard on the target with its sharp front fangs.,用锐利的牙齿攻击对方，有时会使对方退缩。
47,6,2,Ice Beam,れいとうビーム,急冻光线,The target is struck with an icy-cold beam of energy.,用极冷的光束攻击对方。有时会使对方冰冻。
48,6,2,Ice Punch,れいとうパンチ,急冻拳,The target is punched with an icy fist.,用附带着冷气的拳头攻击对方。有时会使对方冰冻。
49,6,2,Icy Wind,こごえるかぜ,冻风,The user attacks with a gust of chilled air.,放出冷气攻击对方，降低对方的速度。
50,16,2,Iron Head,アイアンヘッド,铁头,The user slams the target with its steel-hard head.,用钢铁般坚硬的头部撞击对方。有时会使对方退缩。
51,2,2,Leaf Blade,リーフブレード,刀叶,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily..,用刃叶切割对方容易击中要害。
52,11,2,Low Sweep,ローキック,低空踢,"The user makes a swift attack on the target's legs, which lowers the target's Speed stat.",利用迅猛的动作攻击对方的脚部。降低对方的速度。
53,16,2,Magnet Bomb,マグネットボム,磁铁爆弹,The user launches steel bombs that stick to the target.,发射能够追踪对方的钢铁炸弹。攻击必定会命中。
54,2,2,Mega Drain,メガドレイン,百万吨吸收,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target..,吸取对方的养分。攻击造成的一半伤害会转化成自己的HP。
55,1,2,Megahorn,メガホーン,百万吨角击,"Using its tough and impressive horn, the user rams into the target with no letup.",用致命的大角狠狠地突刺对方。
56,9,2,Moonblast,ムーンフォース,月亮攻击,"Borrowing the power of the moon, the user attacks the target.",借用月亮的力量攻击对方，有一定几率降低对方的特殊攻击能力。
57,4,2,Mud Bomb,どろばくだん,泥巴爆弹,The user launches a hard-packed mud ball to attack.,发射坚硬的泥弹攻击对方。有时会降低对方的命中。
58,3,2,Night Slash,つじぎり,街头试刀,The user slashes the target the instant an opportunity arises. Critical hits land more easily..,瞬间瞄准对方盲区攻击。容易击中要害。
59,17,2,Ominous Wind,あやしいかぜ,奇异之风,The user blasts the target with a gust of repulsive wind.,吹出可怕的强风，攻击对方。有时会提升自身的全部能力。
60,7,2,Parabolic Charge,パラボラチャージ,抛物线充电,The user attacks everything around it.,攻击周围所有单位，伤害的一半回复自身HP。
61,2,2,Petal Blizzard,はなふぶき,落花飞雪,The user stirs up a violent petal blizzard and attacks everything around it.,刮起强烈的花瓣飞雪，攻击周身所有神奇宝贝。
62,9,2,Play Rough,じゃれつく,嬉戏,The user plays rough with the target and attacks it.,通过撒野攻击对方，有一定几率降低对方的攻击能力。
63,10,2,Poison Fang,どくどくのキバ,毒液牙,The user bites the target with toxic fangs.,用毒牙啃咬攻击对方。有时会使对方中剧毒。
64,14,2,Power Gem,パワージェム,力量宝石,The user attacks with a ray of light that sparkles as if it were made of gemstones.,释放出如宝石般的光芒攻击对方。
65,2,2,Power Whip,パワーウィップ,能量鞭打,The user violently whirls its vines or tentacles to harshly lash the target.,激烈地挥动触手或者藤蔓攻击对方。
66,12,2,Psybeam,サイケこうせん,幻象光,The target is attacked with a peculiar ray.,发射不可思议的光线攻击对方。有时会使对方混乱。
67,12,2,Psychic,サイコキネシス,幻象术,The target is hit by a strong telekinetic force.,通过强大的念力攻击对方。
68,12,2,Psyshock,サイコショック,幻象攻击,The user materializes an odd psychic wave to attack the target.,将神秘的念力波动实体化攻击对方。给与对方物理伤害。
69,12,2,Psystrike,サイコブレイク,精神破坏,The user materializes an odd psychic wave to attack the target.,将不可思议的念力波动实体化攻击对方。给与对方物理伤害。
70,12,2,Rest,ねむる,睡觉,The user goes to sleep for two turns.,睡上两个回合。能够回复全部HP，且清除异常状态。
71,14,2,Rock Slide,いわなだれ,山崩地裂,Large boulders are hurled at the opposing Pokémon to inflict damage.,用力将巨石砸向对方。有时会使对方退缩。
72,14,2,Rock Tomb,がんせきふうじ,岩石封闭,Boulders are hurled at the target.,投出岩石攻击。可封住对方的行动，降低对方的速度。
73,18,2,Scald,ねっとう,热水,The user shoots boiling hot water at its target.,发射沸腾炙热的水攻击对方。有时会使对方灼伤。
74,2,2,Seed Bomb,タネばくだん,种子爆弹,The user slams a barrage of hard-shelled seeds on the target from above.,用外壳坚硬的巨大种子，从上方攻击对方。
75,17,2,Shadow Ball,シャドーボール,影子球,The user hurls a shadowy blob at the target.,扔出一团黑影攻击对方。有时会降低对方的特防。
76,17,2,Shadow Punch,シャドーパンチ,影子拳,The user throws a punch from the shadows.,用暗影之拳攻击对方。攻击必定会命中。
77,17,2,Shadow Sneak,かげうち,影子偷袭,The user extends its shadow and attacks the target from behind.,伸长影子，从对方的背后攻击对方。必定能够先制攻击。
78,1,2,Signal Beam,シグナルビーム,信号光束,The user attacks with a sinister beam of light.,放出神秘的光线攻击对方。有时会使对方混乱。
79,8,2,Slam,たたきつける,摔打,"The target is slammed with a long tail, vines, or the like to inflict damage.",使用长尾巴或者藤蔓攻击对方。
80,8,2,Slash,きりさく,劈开,The target is attacked with a slash of claws or blades. Critical hits land more easily..,用利爪或镰刀等切裂对方。容易击中要害。
81,10,2,Sludge,ヘドロこうげき,泥浆攻击,Unsanitary sludge is hurled at the target.,投掷淤泥攻击对方。有时会使对方中毒。
82,10,2,Sludge Bomb,ヘドロばくだん,臭泥爆弹,Unsanitary sludge is hurled at the target.,向对方扔出肮脏的淤泥。有时会使对方中毒。
83,10,2,Sludge Wave,ヘドロウェーブ,泥浆波,The user strikes everything around it by swamping the area with a giant sludge wave.,使用淤泥波浪攻击全场。有时会使对方中毒。
84,10,2,Smog,スモッグ,迷雾,The target is attacked with a discharge of filthy gases.,放出毒气攻击对方。有时会使对方中毒。
85,2,2,Solar Beam,ソーラービーム,阳光烈焰,A two-turn attack.,首回合储蓄能量，下一回合发射光线攻击对方。
86,8,2,Stomp,ふみつけ,践踏,The target is stomped with a big foot.,用巨大的脚踩踏对方进行攻击。有时会使对方退缩。
87,14,2,Stone Edge,ストーンエッジ,尖石攻击,The user stabs the target with sharpened stones from below. Critical hits land more easily..,用尖锐的岩石攻击对方。容易击中要害。
88,1,2,Struggle,わるあがき,挣扎,"While resisting, the user attacks the opposing Pokémon.",在PP耗尽后，使出所有剩余力量攻击的招式。自己也会受到一点伤害。
89,11,2,Submission,じごくぐるま,地狱滚动,The user grabs the target and recklessly dives for the ground.,让对方和自己一起摔到地面上造成伤害。自己也会受到一点伤害。
90,8,2,Swift,スピードスター,高速星星,Star-shaped rays are shot at the opposing Pokémon.,发射星型的光攻击对方。攻击必定会命中。
91,8,2,Take Down,とっしん,猛撞,"A reckless, full-body charge attack for slamming into the target.",使出全身的力气，向对方冲撞过去。自己也会受到一点伤害。
92,7,2,Thunder,かみなり,打雷,A wicked thunderbolt is dropped on the target to inflict damage.,使用强大的雷暴攻击对方。有时会使对方麻痹。
93,7,2,Thunder Punch,かみなりパンチ,雷光掌,The target is punched with an electrified fist.,用附带着电气的拳头攻击对方。有时会使对方麻痹。
94,7,2,Thunderbolt,１０まんボルト,十万伏特,A strong electric blast crashes down on the target.,用强大的电流攻击对方。有时会使对方麻痹。
95,1,2,Twineedle,ダブルニードル,双针,The user damages the target twice in succession by jabbing it with two spikes.,用锋利的双针连续攻击对方2次。有时会使对方中毒。
96,5,2,Twister,たつまき,龙卷风,The user whips up a vicious tornado to tear at the opposing Pokémon.,制造旋风将对方卷入进行攻击。有时会使对方退缩。
97,8,2,Vice Grip,はさむ,剪断,The target is gripped and squeezed from both sides to inflict damage.,将对方从两边夹起来给与伤害。
98,18,2,Water Pulse,みずのはどう,水波动,The user attacks the target with a pulsing blast of water.,以水的震动给予对方攻击，有时会使对方混乱。
99,8,2,Wrap,まきつく,捆绑,A long body or vines are used to wrap and squeeze the target for four to five turns.,使用长长的身体和藤蔓缠绕对方4～5回合造成伤害。
100,1,2,X-Scissor,シザークロス,剪刀十字拳,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.,用镰刀或爪子交叉切裂对方。
101,10,3,Acid,ようかいえき,溶解液,The opposing Pokémon is attacked with a spray of harsh acid.,向对方喷射强酸进行攻击。有时会降低对方的特防。
102,3,3,Bite,かみつく,咬住,The target is bitten with viciously sharp fangs.,用尖銳的牙咬住對手進行攻擊。有時會使對手畏縮。
103,1,3,Bug Bite,むしくい,虫咬,The user bites the target.,啃咬攻击。可以夺取对方的树果并立刻使用。
104,16,3,Bullet Punch,バレットパンチ,飞弹拳,The user strikes the target with tough punches as fast as bullets.,像子弹般快速击出钢铁之拳。必定能够先制攻击。
105,8,3,Cut,いあいぎり,一字斩,The target is cut with a scythe or claw.,用刀刃或爪子切割对方进行攻击。还能切断比较细的树。
106,5,3,Dragon Breath,りゅうのいぶき,龙息,The user exhales a mighty gust that inflicts damage.,吐出强烈的气息攻击对方。有时会使对方麻痹。
107,13,3,Ember,ひのこ,火花,The target is attacked with small flames.,向對手發射細小的火焰來攻擊。有时会使对方灼伤。
108,6,3,Frost Breath,こおりのいぶき,冰吸,The user blows its cold breath on the target.,暂无招式说明
109,1,3,Fury Cutter,れんぞくぎり,连切,The target is slashed with scythes or claws.,用利刃攻击对方。连续击中对方的话，威力会上升。
110,6,3,Ice Shard,こおりのつぶて,冰粒,The user flash-freezes chunks of ice and hurls them at the target.,快速地释放出冰块攻击对方。必定能够先制攻击。
111,11,3,Karate Chop,からてチョップ,手刀,The target is attacked with a sharp chop. Critical hits land more easily..,用强劲的手刀击打对方。容易击中要害。
112,17,3,Lick,したでなめる,舔舌头,"The target is licked with a long tongue, causing damage.",用长舌头舔对方进行攻击。有时会使对方麻痹。
113,11,3,Low Kick,けたぐり,下踢,A powerful low kick that makes the target fall over.,使劲踹对方的脚，让对方摔倒。对方越重威力越大。
114,16,3,Metal Claw,メタルクロー,合金爪,The target is raked with steel claws.,用钢铁之爪攻击对方。有时会提升自身的攻击。
115,4,3,Mud Shot,マッドショット,泥巴射击,The user attacks by hurling a blob of mud at the target.,将凝固的水泥，投掷出去攻击对方。降低对方的速度。
116,15,3,Peck,つつく,啄,The target is jabbed with a sharply pointed beak or horn.,用尖锐的喙或角刺击对方。
117,10,3,Poison Jab,どくづき,毒刺,The target is stabbed with a tentacle or arm steeped in poison.,用带毒的触手攻击对方。有时会使对方中毒。
118,8,3,Pound,はたく,拍击,"The target is physically pounded with a long tail, a foreleg, or the like.",用长尾巴或长手拍打对方。
119,12,3,Psycho Cut,サイコカッター,幻象斩,The user tears at the target with blades formed by psychic power. Critical hits land more easily..,用实体化的精神利刃切割对方，容易击中要害。
120,8,3,Quick Attack,でんこうせっか,电光一闪,The user lunges at the target at a speed that makes it almost invisible.,高速接近对方进行攻击。必定能够先制攻击。
121,2,3,Razor Leaf,はっぱカッター,飞叶快刀,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily..,使用叶片攻击对方。容易击中要害。
122,14,3,Rock Throw,いわおとし,滚石,The user picks up and throws a small rock at the target to attack.,向对方扔出石块进行攻击。
123,8,3,Scratch,ひっかく,利爪,"Hard, pointed, sharp claws rake the target to inflict damage.",用坚硬的利爪攻击对方。
124,17,3,Shadow Claw,シャドークロー,影子钩爪,The user slashes with a sharp claw made from shadows. Critical hits land more easily..,用锐利的影之爪攻击对方。容易击中要害。
125,7,3,Spark,スパーク,电光,The user throws an electrically charged tackle at the target.,暂无招式说明
126,8,3,Splash,はねる,水溅跃,The user just flops and splashes around to no effect at all.,毫无攻击力地乱跳。似乎什么都不会发生……
127,16,3,Steel Wing,はがねのつばさ,钢翼,The target is hit with wings of steel.,用坚硬的翅膀攻击对方。有时会提升自身的防御。
128,3,3,Sucker Punch,ふいうち,突袭,This move enables the user to attack first.,对方使用攻击招式时可以优先攻击。对方不攻击则失败。
129,8,3,Tackle,たいあたり,冲击,A physical attack in which the user charges and slams into the target with its whole body.,使出全身的力气，撞击对方。
130,7,3,Thunder Shock,でんきショック,电击,A jolt of electricity crashes down on the target to inflict damage.,用电流攻击对方。有时会使对方麻痹。
131,2,3,Vine Whip,つるのムチ,藤鞭,"The target is struck with slender, whiplike vines to inflict damage.",使用如同鞭子般细长的藤蔓抽打对方进行攻击。
132,18,3,Water Gun,みずでっぽう,水枪,The target is blasted with a forceful shot of water.,向對手發射強力水柱來攻擊。
133,15,3,Wing Attack,つばさでうつ,翅膀攻击,"The target is struck with large, imposing wings spread wide to inflict damage.",用展开的大翅膀攻击对方。
134,18,1,Bubble,あわ,泡泡,A spray of countless bubbles is jetted at the opposing Pokémon.,发出无数的泡泡攻击对方。有时会降低对方的速度。
135,12,1,Confusion,ねんりき,念力,The target is hit by a weak telekinetic force.,用微弱的念力攻击对方。有时会使对方混乱。
136,3,1,Feint Attack,だましうち,虚晃一招,"The user approaches the target disarmingly, then throws a sucker punch.",趁对方不注意接近然后发动攻击。攻击必定会命中。
137,13,1,Fire Fang,ほのおのキバ,炎牙,The user bites with flame-cloaked fangs.,用充满火焰的牙撕咬对方。有时会使对方灼伤或退缩。
138,4,1,Mud Slap,どろかけ,泥汤,The user hurls mud in the target's face to inflict damage and lower its accuracy.,向对方的脸投掷泥块攻击，降低对方的命中。
139,10,1,Poison Sting,どくばり,毒针,The user stabs the target with a poisonous stinger.,用锋利的毒针攻击对方。有时会使对方中毒。
140,11,1,Rock Smash,いわくだき,岩石粉碎,The user attacks with a punch.,用能击碎石头的拳头攻击对方。有时会使对方的防御下降。
141,12,1,Zen Headbutt,しねんのずつき,意念头锤,The user focuses its willpower to its head and attacks the target.,将念力集中在前额攻击。有时会使对方退缩。
142,10,3,Acid,ようかいえき,溶解液,The opposing Pokémon is attacked with a spray of harsh acid.,向对方喷射强酸进行攻击。有时会降低对方的特防。
143,3,3,Bite,かみつく,咬住,The target is bitten with viciously sharp fangs.,用尖銳的牙咬住對手進行攻擊。有時會使對手畏縮。
144,1,3,Bug Bite,むしくい,虫咬,The user bites the target.,啃咬攻击。可以夺取对方的树果并立刻使用。
145,16,3,Bullet Punch,バレットパンチ,飞弹拳,The user strikes the target with tough punches as fast as bullets.,像子弹般快速击出钢铁之拳。必定能够先制攻击。
146,8,3,Cut,いあいぎり,一字斩,The target is cut with a scythe or claw.,用刀刃或爪子切割对方进行攻击。还能切断比较细的树。
147,5,3,Dragon Breath,りゅうのいぶき,龙息,The user exhales a mighty gust that inflicts damage.,吐出强烈的气息攻击对方。有时会使对方麻痹。
148,13,3,Ember,ひのこ,火花,The target is attacked with small flames.,向對手發射細小的火焰來攻擊。有时会使对方灼伤。
149,6,3,Frost Breath,こおりのいぶき,冰吸,The user blows its cold breath on the target.,暂无招式说明
150,1,3,Fury Cutter,れんぞくぎり,连切,The target is slashed with scythes or claws.,用利刃攻击对方。连续击中对方的话，威力会上升。
151,6,3,Ice Shard,こおりのつぶて,冰粒,The user flash-freezes chunks of ice and hurls them at the target.,快速地释放出冰块攻击对方。必定能够先制攻击。
152,11,3,Karate Chop,からてチョップ,手刀,The target is attacked with a sharp chop. Critical hits land more easily..,用强劲的手刀击打对方。容易击中要害。
153,17,3,Lick,したでなめる,舔舌头,"The target is licked with a long tongue, causing damage.",用长舌头舔对方进行攻击。有时会使对方麻痹。
154,11,3,Low Kick,けたぐり,下踢,A powerful low kick that makes the target fall over.,使劲踹对方的脚，让对方摔倒。对方越重威力越大。
155,16,3,Metal Claw,メタルクロー,合金爪,The target is raked with steel claws.,用钢铁之爪攻击对方。有时会提升自身的攻击。
156,4,3,Mud Shot,マッドショット,泥巴射击,The user attacks by hurling a blob of mud at the target.,将凝固的水泥，投掷出去攻击对方。降低对方的速度。
157,15,3,Peck,つつく,啄,The target is jabbed with a sharply pointed beak or horn.,用尖锐的喙或角刺击对方。
158,10,3,Poison Jab,どくづき,毒刺,The target is stabbed with a tentacle or arm steeped in poison.,用带毒的触手攻击对方。有时会使对方中毒。
159,8,3,Pound,はたく,拍击,"The target is physically pounded with a long tail, a foreleg, or the like.",用长尾巴或长手拍打对方。
160,12,3,Psycho Cut,サイコカッター,幻象斩,The user tears at the target with blades formed by psychic power. Critical hits land more easily..,用实体化的精神利刃切割对方，容易击中要害。
161,8,3,Quick Attack,でんこうせっか,电光一闪,The user lunges at the target at a speed that makes it almost invisible.,高速接近对方进行攻击。必定能够先制攻击。
162,2,3,Razor Leaf,はっぱカッター,飞叶快刀,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily..,使用叶片攻击对方。容易击中要害。
163,14,3,Rock Throw,いわおとし,滚石,The user picks up and throws a small rock at the target to attack.,向对方扔出石块进行攻击。
164,8,3,Scratch,ひっかく,利爪,"Hard, pointed, sharp claws rake the target to inflict damage.",用坚硬的利爪攻击对方。
165,17,3,Shadow Claw,シャドークロー,影子钩爪,The user slashes with a sharp claw made from shadows. Critical hits land more easily..,用锐利的影之爪攻击对方。容易击中要害。
166,7,3,Spark,スパーク,电光,The user throws an electrically charged tackle at the target.,暂无招式说明
167,8,3,Splash,はねる,水溅跃,The user just flops and splashes around to no effect at all.,毫无攻击力地乱跳。似乎什么都不会发生……
168,16,3,Steel Wing,はがねのつばさ,钢翼,The target is hit with wings of steel.,用坚硬的翅膀攻击对方。有时会提升自身的防御。
169,3,3,Sucker Punch,ふいうち,突袭,This move enables the user to attack first.,对方使用攻击招式时可以优先攻击。对方不攻击则失败。
170,8,3,Tackle,たいあたり,冲击,A physical attack in which the user charges and slams into the target with its whole body.,使出全身的力气，撞击对方。
171,7,3,Thunder Shock,でんきショック,电击,A jolt of electricity crashes down on the target to inflict damage.,用电流攻击对方。有时会使对方麻痹。
172,2,3,Vine Whip,つるのムチ,藤鞭,"The target is struck with slender, whiplike vines to inflict damage.",使用如同鞭子般细长的藤蔓抽打对方进行攻击。
173,18,3,Water Gun,みずでっぽう,水枪,The target is blasted with a forceful shot of water.,向對手發射強力水柱來攻擊。
174,15,3,Wing Attack,つばさでうつ,翅膀攻击,"The target is struck with large, imposing wings spread wide to inflict damage.",用展开的大翅膀攻击对方。
